index,schema_version,standard_version,auditor_version,generated_at,run_id,repo_id,repo_remote,branch,commit,dirty_worktree,scope,changed_paths,score,raw_score,finding_count,hard_findings,soft_findings,decision,minimum_score,caps_applied,report_fingerprint,input_fingerprint,policy_fingerprint,repo_score_json_path,repo_score_md_path
1,1.1.0,0.8.0,0.8.11,1778135550,1778135550,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,7a934f0cd,true,full,[],60,67,1694,1650,44,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""release-readiness-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""git-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:6b12a436270752b058bd4c933a12507dd51adcfe3eda9d2c4139cc4273be2e9d,sha256:46e763e0277cc0536e68ab3f8f1c95b0e22563ec484b28f1ad258e596b420f85,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
2,1.1.0,0.8.0,0.8.11,1778137451,1778137451,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,6e60e21bd,true,full,[],60,69,1692,1649,43,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""git-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:76d9c591c26c6d230df29e205105f6574811dab88a0355d2ed72b682a0e57c85,sha256:aa6aa1b8c5bbfa2f8aa9b19da2bc59e2926f5f4c95454004d7d5dcb5a2f9eff3,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
3,1.1.0,0.8.0,0.8.11,1778139688,1778139688,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,1049314c7,true,full,[],60,67,1694,1650,44,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""release-readiness-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""git-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:57516acb51c3a26c371ee1277a74afa0018e36e0bda75d60aaf4556a868e9d90,sha256:fd71edd231985773af7e648f46f301e90492fdec044931e9081b5b977e58ad5b,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
4,1.1.0,0.8.0,0.8.11,1778140028,1778140028,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,1049314c7,true,full,[],60,69,1683,1640,43,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""git-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:15450489ef1739d7e012996526b27b0ddb284a71adeba5abced2fb20b7640f67,sha256:3e1bd1cc2c18e2fe0bbc2968307ff5b6dca66d463111972627777d1ff878d384,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
5,1.1.0,0.8.0,0.8.11,1778140452,1778140452,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,1049314c7,true,full,[],60,69,1692,1648,44,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""release-readiness-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""git-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:194ec98a77b0890658658cd721352a9ec17897c3fc4f243629b3dde146b23a29,sha256:a84ae65a1646c0de0597c548163e0d45f7834ba89119db778a701a835b6e90e3,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
6,1.1.0,0.8.0,0.8.11,1778140510,1778140510,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,1049314c7,true,full,[],60,67,1693,1648,45,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""release-readiness-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""git-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:7fbeab1cd25f81ef7418fa66875cf2925186778349094122e5afad10891bf69e,sha256:766819bb89bd4b53becb8ef63895544a2275a7eef49bccb3a1421c8e1b55f256,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
7,1.1.0,0.8.0,0.8.11,1778140625,1778140625,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,1049314c7,true,full,[],60,69,1690,1646,44,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""git-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:635662644563b1be29103e47eff67fd296e05dd23fd0210d681e7a7bf7419c0b,sha256:29e124dbbc6ac2b2d67b2d3a0bc903fccc7a2f33fbfa138fc651f0b7955add63,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
8,1.1.0,0.8.0,0.8.11,1778140750,1778140750,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,1049314c7,true,full,[],60,69,1663,1619,44,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""git-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:184e57a42da2d63627d2a8be7506d99de72c07146348b76701944dbead45a144,sha256:ceba0057df55e356969b21d5a6d16f09a2b65e6af769aaeb4b94b4a14b6f1da1,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
9,1.1.0,0.8.0,0.8.11,1778140798,1778140798,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,1049314c7,true,full,[],60,67,1665,1620,45,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""release-readiness-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:b865d0c7cf9557ed9ea65fb6e33e97567071845782b9f5c5b5bf332cfb106702,sha256:bbfca14ab6dfb9ca3d3bd02fc399db7ed5a7457d99617fb90f5d06efce162a32,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
10,1.1.0,0.8.0,0.8.11,1778140905,1778140905,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,1049314c7,true,full,[],60,69,364,320,44,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:0662ea289f1103446c0692043ffd11865d8543261f7aa7e25b566f621ea69849,sha256:530a4cf322591771af1bdfb249ededbf8dc0ddceb4d8df17bdd5f9f874066bfb,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
11,1.1.0,0.8.0,0.8.11,1778140948,1778140948,sha256:a17f0181b2ee0e659f7943eccab1a00a493a57e2f145b9cd93a58ebc843f65ae,git@github.com:jeppsontaylor/Jnoccio.git,main,1049314c7,true,full,[],60,67,368,323,45,advisory,85,"[""no-security-lane-on-high-risk-repo"",""no-secret-or-dependency-scanning-in-ci"",""non-optimal-product-language-found"",""vibe-placeholders-in-product-code"",""fallback-soup-in-product-code"",""future-hostile-dead-language-in-product-code"",""severe-duplication-in-product-code"",""generated-zone-mutation-risk"",""missing-rendered-ux-qa-lane"",""secret-like-content-detected"",""false-green-test-risk"",""input-boundary-gap"",""release-readiness-gap"",""missing-rust-property-or-integration-tests"",""no-agent-friendly-exception-pattern"",""missing-agent-readable-docs"",""streaming-runtime-drift"",""sql-bad-behavior"",""typescript-bad-behavior"",""docker-bad-behavior"",""ci-bad-behavior"",""release-bad-behavior"",""web-security-bad-behavior"",""repo-rot-bad-behavior""]",sha256:6894ffc1468b37539521ffe5e35a0bd07be24f33c4dbb2cebad8da5dbf48086f,sha256:3ddb9cfeb977c879c2e31643fef12774fb0f0340329af6bc20279a67fb7631bf,sha256:1344c6682471353eb10a07a55a14e5fdd73676dd9aafd00b9f60dffd43c8b443,agent/repo-score.json,agent/repo-score.md
